Rx,clus_ct,node_cov,node_count,min,med,max
lfr_wtp_0.1_leiden.5_r2nontree_clusters.tsv,40911,0.722411915451337,1294193,11,31,66
lfr_wtp_0.1_leiden.5_after.tsv,40911,0.722411915451337,1294193,11,31,66
lfr_wtp_0.1_leiden.5_r2nontree_n10_clusters.tsv,40911,0.722411915451337,1294193,11,31,66
lfr_wtp_0.1_leiden.5_nontree_clusters.tsv,40911,0.722411915451337,1294193,11,31,66
lfr_wtp_0.1_leiden.5.tsv,40911,0.722411915451337,1294193,11,31,66
lfr_wtp_0.1_leiden.5_nontree_n10_clusters.tsv,40911,0.722411915451337,1294193,11,31,66
lfr_wtp_0.1_leiden.1_r2nontree_clusters.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.1_after.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.1_r2nontree_n10_clusters.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.1_nontree_clusters.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.1.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.1_nontree_n10_clusters.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.01_r2nontree_clusters.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.01_after.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.01_r2nontree_n10_clusters.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.01_nontree_clusters.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.01.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.01_nontree_n10_clusters.tsv,40449,1,1791489,20,38,100
lfr_wtp_0.1_leiden.001_r2nontree_clusters.tsv,37771,1,1791489,20,41,113
lfr_wtp_0.1_leiden.001_after.tsv,37771,1,1791489,20,41,113
lfr_wtp_0.1_leiden.001_r2nontree_n10_clusters.tsv,37771,1,1791489,20,41,113
lfr_wtp_0.1_leiden.001_nontree_clusters.tsv,30337,1,1791489,30,56,113
lfr_wtp_0.1_leiden.001.tsv,30337,1,1791489,30,56,113
lfr_wtp_0.1_leiden.001_nontree_n10_clusters.tsv,30337,1,1791489,30,56,113
