Rx,clus_ct,node_cov,node_count,min,med,max
lfr_wtp_0.9_leiden.1_after.tsv,26,0.00018197153317715,326,11,13,14
lfr_wtp_0.9_leiden.1_nontree_clusters.tsv,27,0.000188111676934662,337,11,13,14
lfr_wtp_0.9_leiden.1_nontree_n10_clusters.tsv,27,0.000188111676934662,337,11,13,14
lfr_wtp_0.9_leiden.1_r2nontree_clusters.tsv,26,0.00018197153317715,326,11,13,14
lfr_wtp_0.9_leiden.1_r2nontree_n10_clusters.tsv,26,0.00018197153317715,326,11,13,14
lfr_wtp_0.9_leiden.1.tsv,27,0.000188111676934662,337,11,13,14
lfr_wtp_0.9_leiden.01_after.tsv,20501,0.159424367104682,285607,11,13,41
lfr_wtp_0.9_leiden.01_nontree_clusters.tsv,47491,0.510941457078442,915346,11,18,45
lfr_wtp_0.9_leiden.01_nontree_n10_clusters.tsv,47491,0.510941457078442,915346,11,18,45
lfr_wtp_0.9_leiden.01_r2nontree_clusters.tsv,20501,0.159424367104682,285607,11,13,41
lfr_wtp_0.9_leiden.01_r2nontree_n10_clusters.tsv,20501,0.159424367104682,285607,11,13,41
lfr_wtp_0.9_leiden.01.tsv,98993,0.998810486695704,1789358,11,18,45
lfr_wtp_0.9_leiden.001_after.tsv,22797,0.595562127370026,1066943,11,44,99
lfr_wtp_0.9_leiden.001_nontree_clusters.tsv,22767,0.99995646079881,1791411,30,78,192
lfr_wtp_0.9_leiden.001_nontree_n10_clusters.tsv,22767,0.99995646079881,1791411,30,78,192
lfr_wtp_0.9_leiden.001_r2nontree_clusters.tsv,22797,0.595562127370026,1066943,11,44,99
lfr_wtp_0.9_leiden.001_r2nontree_n10_clusters.tsv,22797,0.595562127370026,1066943,11,44,99
lfr_wtp_0.9_leiden.001.tsv,22769,1,1791489,30,78,192
